total,l1,l2,l3,l1r
1103,4,10,6,0
1104,4,10,6,0
1105,4,10,6,0
1106,4,10,6,0
1107,4,10,6,0
1108,4,10,6,0
1109,4,10,6,0
1110,4,10,6,0
1111,4,10,6,0
1112,4,10,6,0
1113,4,10,6,0
1114,4,10,6,0
1115,4,10,6,0
1116,4,10,6,0
1117,4,10,6,0
1118,4,10,6,0
1119,4,10,6,0
1120,4,10,6,0
1121,4,10,6,0
1122,4,10,6,0
1123,4,10,6,0
1124,4,10,6,0
1125,4,10,6,0
1126,4,10,6,0
1127,4,10,6,0
1128,4,10,6,0
1129,4,10,6,0
1130,4,10,6,0
1131,4,10,6,0
1132,4,10,6,0
1133,4,10,6,0
1134,4,10,6,0
1135,4,10,6,0
1136,4,10,6,0
1137,4,10,6,0
1138,4,10,6,0
1139,4,10,6,0
1140,4,10,6,0
1141,4,10,6,0
1142,4,10,6,0
1143,4,10,6,0
1144,4,10,6,0
1145,4,10,6,0
1146,4,10,6,0
1147,4,10,6,0
1148,4,10,6,0
1149,4,10,6,0
1150,4,10,6,0
1151,4,10,6,0
1152,4,10,6,0
1153,4,10,6,0
1154,4,10,6,0
1155,4,10,6,0
1156,4,10,6,0
1157,4,10,6,0
1158,4,10,6,0
1159,4,10,6,0
1160,4,10,6,0
1161,4,10,6,0
1162,4,10,6,0
1163,4,10,6,0
1164,4,10,6,0
1165,4,10,6,0
1166,4,10,6,0
1167,4,10,6,0
1168,4,10,6,0
1169,4,10,6,0
1170,4,10,6,0
1171,4,10,6,0
1172,4,10,6,0
1173,4,10,6,0
1174,4,10,6,0
1175,4,10,6,0
1176,4,10,6,0
1177,4,10,6,0
1178,4,10,6,0
1179,4,10,6,0
1180,4,10,6,0
1181,4,10,6,0
1182,4,10,6,0
1183,4,10,6,0
1184,4,10,6,0
1185,4,10,6,0
1186,4,10,6,0
1187,4,10,6,0
1188,4,10,6,0
1189,4,10,6,0
1190,4,10,6,0
1191,4,10,6,0
1192,4,10,6,0
1193,4,10,6,0
1194,4,10,6,0
1195,4,10,6,0
1196,4,10,6,0
1197,4,10,6,0
1198,4,10,6,0
1199,4,10,6,0
1200,4,10,6,0
1201,4,10,6,0
1202,4,10,6,0
1203,4,10,6,0
1204,4,10,6,0
1205,4,10,6,0
1206,4,10,6,0
1207,4,10,6,0
1208,4,10,6,0
1209,4,10,6,0
1210,4,10,6,0
1211,4,10,6,0
1212,4,10,6,0
1213,4,10,6,0
1214,4,10,6,0
1215,4,10,6,0
1216,4,10,6,0
1217,4,10,6,0
1218,4,10,6,0
1219,4,10,6,0
1220,4,10,6,0
1221,4,10,6,0
1222,4,10,6,0
1223,4,10,6,0
1224,4,10,6,0
1225,4,10,6,0
1226,4,10,6,0
1227,4,10,6,0
1228,4,10,6,0
1229,4,10,6,0
1230,4,10,6,0
1231,4,10,6,0
1232,4,10,6,0
1233,4,10,6,0
1234,4,10,6,0
1235,4,10,6,0
1236,4,10,6,0
1237,4,10,6,0
1238,4,10,6,0
1239,4,10,6,0
1240,4,10,6,0
1241,4,10,6,0
1242,4,10,6,0
1243,4,10,6,0
1244,4,10,6,0
1245,4,10,6,0
1246,4,10,6,0
1247,4,10,6,0
1248,4,10,6,0
1249,4,10,6,0
1250,4,10,6,0
1251,4,10,6,0
1252,4,10,6,0
1253,4,10,6,0
1254,4,10,6,0
1255,4,10,6,0
1256,4,10,6,0
1257,4,10,6,0
1258,4,10,6,0
1259,4,10,6,0
1260,4,10,6,0
1261,4,10,6,0
1262,4,10,6,0
1263,4,10,6,0
1264,4,10,6,0
1265,4,10,6,0
1266,4,10,6,0
1267,4,10,6,0
1268,4,10,6,0
1269,4,10,6,0
1270,4,10,6,0
1271,4,10,6,0
1272,4,10,6,0
1273,4,10,6,0
1274,4,10,6,0
1275,4,10,6,0
1276,4,10,6,0
1277,4,10,6,0
1278,4,10,6,0
1279,4,10,6,0
1280,4,10,6,0
1281,4,10,6,0
1282,4,10,6,0
1283,4,10,6,0
1284,4,10,6,0
1285,4,10,6,0
1286,4,10,6,0
1287,4,10,6,0
1288,4,10,6,0
1289,4,10,6,0
1290,4,10,6,0
1291,4,10,6,0
