total,l1,l2,l3,l1r
1184,6,10,5,0
1185,6,10,5,0
1186,6,10,5,0
1187,6,10,5,0
1188,6,10,5,0
1189,6,10,5,0
1190,6,10,5,0
1191,6,10,5,0
1192,6,10,5,0
1193,6,10,5,0
1194,6,10,5,0
1195,6,10,5,0
1196,6,10,5,0
1197,6,10,5,0
1198,6,10,5,0
1199,6,10,5,0
1200,6,10,5,0
1201,6,10,5,0
1202,6,10,5,0
1203,6,10,5,0
1204,6,10,5,0
1205,6,10,5,0
1206,6,10,5,0
1207,6,10,5,0
1208,6,10,5,0
1209,6,10,5,0
1210,6,10,5,0
1211,6,10,5,0
1212,6,10,5,0
1213,6,10,5,0
1214,6,10,5,0
1215,6,10,5,0
1216,6,10,5,0
1217,6,10,5,0
1218,6,10,5,0
1219,6,10,5,0
1220,6,10,5,0
1221,6,10,5,0
1222,6,10,5,0
1223,6,10,5,0
1224,6,10,5,0
1225,6,10,5,0
1226,6,10,5,0
1227,6,10,5,0
1228,6,10,5,0
1229,6,10,5,0
1230,6,10,5,0
1231,6,10,5,0
1232,6,10,5,0
1233,6,10,5,0
1234,6,10,5,0
1235,6,10,5,0
1236,6,10,5,0
1237,6,10,5,0
1238,6,10,5,0
1239,6,10,5,0
1240,6,10,5,0
1241,6,10,5,0
1242,6,10,5,0
1243,6,10,5,0
1244,6,10,5,0
1245,6,10,5,0
1246,6,10,5,0
1247,6,10,5,0
1248,6,10,5,0
1249,6,10,5,0
1250,6,10,5,0
1251,6,10,5,0
1252,6,10,5,0
1253,6,10,5,0
1254,6,10,5,0
1255,6,10,5,0
1256,6,10,5,0
1257,6,10,5,0
1258,6,10,5,0
1259,6,10,5,0
1260,6,10,5,0
1261,6,10,5,0
1262,6,10,5,0
1263,6,10,5,0
1264,6,10,5,0
1265,6,10,5,0
1266,6,10,5,0
1267,6,10,5,0
1268,6,10,5,0
1269,6,10,5,0
1270,6,10,5,0
1271,6,10,5,0
1272,6,10,5,0
1273,6,10,5,0
1274,6,10,5,0
1275,6,10,5,0
1276,6,10,5,0
1277,6,10,5,0
1278,6,10,5,0
1279,6,10,5,0
1280,6,10,5,0
1281,6,10,5,0
1282,6,10,5,0
1283,6,10,5,0
1284,6,10,5,0
1285,6,10,5,0
1286,6,10,5,0
1287,6,10,5,0
1288,5,15,5,1
1289,5,15,5,1
1290,5,15,5,1
1291,5,15,5,1
1292,5,15,5,1
1293,5,15,5,1
1294,5,15,5,1
1295,5,15,5,1
1296,5,15,5,1
1297,5,15,5,1
1298,5,15,5,1
1299,5,15,5,1
1300,5,15,5,1
1301,5,15,5,1
1302,5,15,5,1
1303,5,15,5,1
1304,5,15,5,1
1305,5,15,5,1
1306,5,15,5,1
1307,5,15,5,1
1308,5,15,5,1
1309,5,15,5,1
1310,5,15,5,1
1311,5,15,5,1
1312,5,15,5,1
1313,5,15,5,1
1314,5,15,5,1
1315,5,15,5,1
1316,5,15,5,1
1317,5,15,5,1
1318,5,15,5,1
1319,5,15,5,1
1320,5,15,5,1
1321,5,15,5,1
1322,5,15,5,1
1323,5,15,5,1
1324,5,15,5,1
1325,5,15,5,1
1326,5,15,5,1
1327,5,15,5,1
1328,5,15,5,1
1329,5,15,5,1
1330,5,15,5,1
1331,5,15,5,1
1332,5,15,5,1
1333,5,15,5,1
1334,5,15,5,1
1335,5,15,5,1
1336,5,15,5,1
1337,5,15,5,1
1338,5,15,5,1
1339,5,15,5,1
1340,5,15,5,1
1341,5,15,5,1
1342,5,15,5,1
1343,5,15,5,1
1344,5,15,5,1
1345,5,15,5,1
1346,5,15,5,1
1347,5,15,5,1
1348,5,15,5,1
1349,5,15,5,1
1350,5,15,5,1
1351,5,15,5,1
1352,5,15,5,1
1353,5,15,5,1
1354,5,15,5,1
1355,5,15,5,1
1356,5,15,5,1
